Site,State,ChlA.ug.L.Rep1,ChlA.ug.L.Rep2,SamplingDate,Filter.Vol.mL,Solvent.Vol.mL
BlackBayouLake,LA,30.15,26.86,6/3/2016,250,4
BobbKiddLake,AR,14.71,15.02,7/14/2016,300,4
BoonevilleLake,AR,8.6,7.4,7/26/2016,300,4
CharlestonLake,AR,7.17,7.37,7/21/2016,300,4
ChathamLake,LA,21.32,17.36,6/4/2016,300,4
ClearwaterLake,MI,7.81,9.02,7/21/2016,300,4
CodyLake,MN,16.29,14.01,7/10/2016,300,4
CorneyLake,LA,4.06,14.08,6/5/2016,300,4
CoveLake,AR,5.05,4.82,8/11/2016,300,4
CrystalLake,AR,22.37,20.73,8/1/2016,300,4
DarbyLake,AR,10.01,7.32,8/4/2016,300,4
DiamondLake,WI,29.71,33.6,7/19/2016,300,4
EngineerLake,AR,6.69,6.01,8/4/2016,300,4
GrandLake,LA,33.35,28.38,5/30/2016,200,4
GreenLake,WI,11.65,11.75,7/18/2016,300,4
GreenwoodLake,AR,15.77,16.79,7/25/2016,300,4
HolmesSP,MS,13.38,13.23,6/23/2016,300,4
HorseheadLake,AR,7.04,7.58,7/19/2016,300,4
HorseshoeLake,MS,7.49,9.48,6/22/2016,300,4
LakeBillWaller,MS,3.09,3.13,6/25/2016,300,4
LakeBogueHoma,MS,11.62,9.56,6/26/2016,300,4
LakeChicotSP,LA,9.39,9.67,5/29/2016,300,4
LakeFayetteville,AR,12.69,17.09,8/8/2016,300,4
LakeLeatherwood,AR,2.94,3.65,8/8/2016,300,4
LakeLincoln,AR,23.81,21.63,7/14/2016,300,4
LakeLoakfoama,MS,5.76,11.39,6/28/2016,300,4
LakePrairieGrove,AR,6.82,7.91,8/10/2016,300,4
LakeSequoyah,AR,4.57,4.33,8/15/2016,300,4
LakeWedington,AR,3,4.73,8/3/2016,300,4
LakeWilson,AR,4.31,5.76,7/11/2016,300,4
LincolnLake,MS,17.23,18.98,6/24/2016,300,4
LockAndDamPond,AR,18.65,19.73,7/21/2016,300,4
LoonLake,WI,4.17,4.86,7/20/2016,300,4
LuraLake,MN,14.59,11.12,7/9/2016,300,4
MargaretLake,WI,7.09,6.98,7/24/2016,300,4
MerrisachLake,AR,10.59,9.78,6/8/2016,300,4
MissionLake,WI,4.15,3.71,7/26/2016,300,4
MollieLake,MN,5.66,6.12,7/13/2016,300,4
MonticelloLake,AR,3.47,3.78,6/2/2016,300,4
MudLake,WI,22.65,15.15,7/17/2016,300,4
LakeNopawan,WI,3.7,6.75,7/29/2016,300,4
OrganLake,MS,6,7.21,6/29/2016,300,4
OzarkCityLake,AR,6.17,4.75,7/19/2016,300,4
PalmatierLake,MI,5.7,5.31,8/1/2016,300,4
ParisReservoir,AR,14.26,9.67,8/11/2016,300,4
PatrickLake,WI,2.73,3.16,7/27/2016,300,4
PickerelLake,MN,9.17,11.15,7/16/2016,300,4
RickEvansWMA,AR,4.95,5.97,5/23/2016,250,4
RockLake,MN,14.27,13.89,7/14/2016,300,4
SabineWMA,LA,18.03,0,5/28/2016,200,4
SiloamSpringsLake,AR,6.55,6.78,8/1/2016,300,4
SpectacleLake,MN,5.11,7.16,7/12/2016,300,4
SpringLake,WI,5.84,14.36,7/28/2016,300,4
SpringLakeEast,WI,7.14,8.13,7/30/2016,300,4
SpurzemLake,MN,26.46,25.82,7/11/2016,300,4
LakeSaintKathryn,MI,4.59,4.61,7/23/2016,300,4
StuartLake,LA,1.34,2.03,5/31/2016,300,4
TomBaileyLake,MS,6.18,3.29,6/27/2016,300,4
WhiteOakLake,AR,11.72,21.48,5/24/2016,200,4
WiscobeeLake,WI,6.19,5.76,7/25/2016,300,4
