Lake,Date,Species,HW,OWPL,FM_Name,SamplingRound,,,,,,
Fayetteville,11/17/2016,ENBA,5.1,3.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,4.2,2.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,4.2,2,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5,3.4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.2,4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.1,4.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,4.8,2.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,4.1,1.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.6,3.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.2,4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.1,3.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.4,4.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.2,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.3,3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.3,4.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.3,4.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.2,4.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6,4,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.3,2.6,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,4.9,2.5,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,4.8,2.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.1,4.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.1,5.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.2,2.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.3,2.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.2,1.7,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.9,2.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.1,4.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,4.9,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.2,2.8,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.3,4.3,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.3,2.9,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,5.1,3.1,LakeFayetteville,2,,,,,,
Fayetteville,11/17/2016,ENBA,6.1,3.7,LakeFayetteville,2,,,,,,
