Lake,Date,Group,Count,FM_Name,Sampling.Round
Fayetteville,11/17/2016,Enallagma,358,LakeFayetteville,2
Fayetteville,11/17/2016,Argia,4,LakeFayetteville,2
Fayetteville,11/17/2016,Ischnura,56,LakeFayetteville,2
Fayetteville,11/17/2016,Dragonflies,2,LakeFayetteville,2
Horsehead,11/16/2016,Dragonflies,8,HorseheadLake,2
Horsehead,11/16/2016,Enallagma,43,HorseheadLake,2
OzarkCity,11/16/2016,Dragonflies,4,OzarkCityLake,2
OzarkCity,11/16/2016,Enallagma,70,OzarkCityLake,2
LockandDam,11/14/2016,Dragonflies,9,LockAndDamPond,2
LockandDam,11/14/2016,Ischnura,40,LockAndDamPond,2
LockandDam,11/14/2016,Enallagma,213,LockAndDamPond,2
Charleston,11/14/2016,Ischnura,17,CharlestonLake,2
Charleston,11/14/2016,Enallagma,98,CharlestonLake,2
Charleston,11/14/2016,Dragonflies,3,CharlestonLake,2
Darby,11/14/2016,Enallagma,138,DarbyLake,2
Darby,11/14/2016,Ischnura,50,DarbyLake,2
Darby,11/14/2016,Dragonflies,25,DarbyLake,2
Darby,11/14/2016,Lestes,27,DarbyLake,2
Engineer,11/14/2016,Dragonflies,8,EngineerLake,2
Engineer,11/14/2016,Ischnura,10,EngineerLake,2
Engineer,11/14/2016,Enallagma,30,EngineerLake,2
BobbKidd,11/14/2016,Ischnura,10,BobbKiddLake,2
BobbKidd,11/14/2016,Dragonflies,12,BobbKiddLake,2
BobbKidd,11/14/2016,Enallagma,78,BobbKiddLake,2
Lincoln,11/10/2016,Dragonflies,49,LakeLincoln,2
Lincoln,11/10/2016,Ischnura,257,LakeLincoln,2
Lincoln,11/10/2016,Enallagma,217,LakeLincoln,2
Lincoln,11/10/2016,Argia,4,LakeLincoln,2
PrairieGrove,11/10/2016,Enallagma,159,LakePrairieGrove,2
PrairieGrove,11/10/2016,Dragonflies,81,LakePrairieGrove,2
PrairieGrove,11/10/2016,Ischnura,56,LakePrairieGrove,2
Lake Sequoyah,11/10/2016,Ischnura,160,LakeSequoyah,2
Lake Sequoyah,11/10/2016,Dragonflies,44,LakeSequoyah,2
Lake Sequoyah,11/10/2016,Enallagma,53,LakeSequoyah,2
Crystal,11/10/2016,Argia,11,CrystalLake,2
Crystal,11/10/2016,Ischnura,1,CrystalLake,2
Crystal,11/10/2016,Enallagma,34,CrystalLake,2
Crystal,11/10/2016,Dragonflies,2,CrystalLake,2
Paris,11/8/2016,Dragonflies,24,ParisReservoir,2
