SiteVisit_Record_ID_WaterQuality,Time_Rep1,Time_Rep2,Time_Rep3,WaterTemp_Rep1,WaterTemp_Rep2,WaterTemp_Rep3,DO_Rep1,DO_Rep2,DO_Rep3,DO.percent_Rep1,DO.percent_Rep2,DO.percent_Rep3,DO.ppm_Rep1,DO.ppm_Rep2,DO.ppm_Rep3,Conductivity_Rep1,Conductivity_Rep2,Conductivity_Rep3,SPC_Rep1,SPC_Rep2,SPC_Rep3,Salinity_Rep1,Salinity_Rep2,Salinity_Rep3,ORP_Rep1,ORP_Rep2,ORP_Rep3,TDS_Rep1,TDS_Rep2,TDS_Rep3,pH_Rep1,pH_Rep2,pH_Rep3,Observer_Rep1,Observer_Rep2,Observer_Rep3
PalmatierLake_MI_08/01/2016,1545,1548,1555,30.4,29.3,28.5,16.12,12.9,11.54,221.4,172,152.8,16.12,12.9,11.54,371,387.6,389.1,334.4,356.1,363.8,0.16,0.17,0.17,105.7,99.1,96.1,217.75,230.75,235.95,9.24,8.99,8.92,JS,JS,JS
SpringLakeEast_WI_07/30/2016,1109,1114,1120,24.9,25.1,25.2,9.65,10.26,9.83,111.2,113.5,120.4,9.65,10.23,9.83,515,520,520,516,518,518,0.25,0.25,0.25,984.0,983.9,971.7,338,338,338,8.8,8.8,8.8,JB,JB,JB
LakeNopawan_WI_07/29/2016,1015,1022,1025,24.3,24.4,24.1,5.6,6.95,6.85,68.3,83.5,77.8,5.6,6.95,6.85,183.1,182.2,180.7,185.7,184.5,183.9,0.09,0.09,0.09,140.0,141.9,141.8,120.91,119.6,119.6,9.6,9.82,9.86,JB,JB,JB
SpringLake_WI_07/28/2016,1147,1154,1201,26.3,26.2,26.7,8.5,9.57,10.87,108.3,121.6,139.5,8.5,9.57,10.87,374.3,370.8,363.8,365.4,362.2,352.7,0.17,0.17,0.17,912.9,913.7,210.1,237.25,235.3,229.45,9.4,9.4,9.6,JS,JS,JS
PatrickLake_WI_07/27/2016,1106,1112,1118,28.3,28.4,28.6,6.9,7.01,7.71,90.7,97.2,103.1,6.9,7.01,7.71,200.6,201.8,202.1,190.6,189.5,188.9,0.09,0.09,0.09,867.1,864.3,876.1,125.5,122.85,122.85,8.8,8.8,8.8,JB,JB,JB
MissionLake_WI_07/26/2016,1027,1034,1040,27,26.8,26.8,6.62,7.22,7.3,87.9,95.9,94.1,6.71,7.32,7.2,138.2,138.3,137.9,133.6,133.8,133.7,0.06,0.06,0.06,80.4,8.9,40.0,86.45,86.45,86.45,8.8,8.6,8.7,MC,MC,MC
CodyLake_MN_07/10/2016,1318,1323,1329,25.1,25.5,25.1,8.32,10.01,7.11,104.6,120.5,90.2,8.32,10.01,7.11,393.4,394,396.4,392.3,390.3,395.6,0.19,0.19,0.19,919.4,917.6,909.3,254.8,253.5,258.1,9.6,9.5,9.4,JB,JB,JB
SpurzemLake_MN_07/11/2016,1208,1214,1219,25.2,25.1,25,5.13,6.21,6.12,64.6,75.5,77.8,4.7,4.84,6.46,471.4,473.6,469.7,470.6,472.2,469.6,0.23,0.23,0.22,717.8,651.9,680.4,305.5,306.8,305.5,8.9,8.9,8.8,MC,MC,MC
LuraLake_MN_07/09/2016,1134,1145,1150,25.8,27.3,27.4,8.43,9.64,9.5,108,126,124,8.43,9.64,9.5,335.2,341.5,339.2,326.2,326,325.6,0.15,0.15,0.15,761.0,811.6,826.6,211.9,211.25,211.9,9.1,9.4,9.4,JS,JS,JS
MollieLake_MN_07/13/2016,1146,1151,1155,22.4,22.8,22.9,6.9,7.25,6.54,84.1,88.7,88.3,6.9,7.25,6.54,122.4,129.8,131.4,128.8,135.4,136.8,0.06,0.06,0.06,903.6,916.1,914.2,83.2,88.4,89.05,8.5,8.4,8.4,JS,JS,JS
