Lake,year,sample date,picked date,round,species1,HW,OWPL,TL,Dragonflies,dummy,julian date,species
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,L_vigilax,2.1,0.4,6.4,2,1,8266,Lestes
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,L_vigilax,2.7,0.9,8.1,,2,8266,Lestes
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,L_vigilax,3.1,1.3,9.6,,3,8266,Lestes
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,L_vigilax,2.7,0.9,8.6,,4,8266,Lestes
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,L_vigilax,3.1,1.2,10.1,,5,8266,Lestes
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,L_vigilax,2.3,0.6,7.6,,6,8266,Lestes
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,L_vigilax,1.8,NA,5.1,,7,8266,Lestes
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,L_inequalis,3,1.2,8.6,,8,8266,Lestes
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,L_inequalis,3.3,1.5,10.8,,9,8266,Lestes
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Argia,3.6,2,5,,10,8266,Argia
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Argia,3.6,2,4.9,,11,8266,Argia
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.2,0.9,4.2,,12,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.1,0.8,4.4,,13,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.4,1.3,5,,14,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.4,1.2,4,,15,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.5,1.4,5.2,,16,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.1,1.3,4.4,,17,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.9,0.8,4.1,,18,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.8,1.2,4.5,,19,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.9,1.3,4.7,,20,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,3,1.5,6,,21,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,1.9,0.5,3.3,,22,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,1.9,0.5,3,,23,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.6,1.3,5.1,,24,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.7,1.4,5.3,,25,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.7,1.4,4.9,,26,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.9,1.1,4.7,,27,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,3.1,2.3,6,,28,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,1.8,0.5,3.5,,29,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2,1.4,4.1,,30,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.9,1.1,4.8,,31,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,Ischnura,2.8,1.1,4.2,,32,8266,Ischnura
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.1,0.7,4,,33,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.6,1.4,6,,34,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.2,NA,2,,35,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.5,1.2,6.3,,36,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2,0.6,4,,37,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2,0.7,5,,38,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.5,1.3,6.5,,39,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.5,NA,2.3,,40,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.8,0.7,3,,41,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.5,1.3,6.5,,42,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.1,NA,3.8,,43,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.4,0.5,2.8,,44,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.3,0.4,2.7,,45,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.3,0.4,2.7,,46,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.4,NA,2.5,,47,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.1,NA,2.7,,48,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.6,0.7,2.6,,49,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.5,1.4,6,,50,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.2,NA,3.5,,51,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.1,1.7,4,,52,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.1,1.7,4.1,,,,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.5,NA,2.3,,54,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.4,1.6,6.3,,55,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.7,NA,2.6,,56,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.2,1.8,5,,57,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.2,1.7,5.6,,58,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,0.7,NA,3.4,,59,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,0.8,NA,5,,60,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,0.8,NA,2.8,,61,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1,NA,4.9,,62,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1,NA,4.2,,63,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,0.6,NA,2,,64,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.2,0.5,5.6,,65,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.2,0.5,5.7,,66,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.1,0.4,4.6,,67,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.1,0.4,6,,68,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,0.6,NA,3,,69,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.6,1.1,6.5,,70,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,2.7,1.4,6.6,,71,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.6,0.3,3.6,,72,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.4,0.3,3.1,,73,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_vesperum,1.5,0.4,3.2,,74,8266,ENVE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_geminatum,2.5,0.9,4.6,,75,8266,ENGE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_geminatum,2.7,1.3,5,,76,8266,ENGE
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.1,1,4.2,,77,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.3,1.2,4.7,,78,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.5,1.3,5.1,,79,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.5,1.4,4.5,,80,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.4,1.4,4.9,,81,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.1,1,3.6,,82,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.1,1.2,3.8,,83,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.5,1.3,4.6,,84,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.5,1.2,4.5,,85,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.4,1.3,4.3,,86,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.5,1.1,3.7,,87,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.6,1.4,4.6,,88,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.4,1,4,,89,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.5,1.1,4.3,,90,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_divagans,2.5,1.3,4.4,,91,8266,ENDI
Lake Winnepocket,2008,9/22/2008,9/23/2008,1,E_ebrium_hageni,1.9,0.6,3.7,,92,8266,ENEB_ENHA
Walker Pond,2008,9/22/2008,9/26/2008,1,Dragonflies,,,,4,93,8266,Dragonflies
Walker Pond,2008,9/22/2008,9/26/2008,1,L_vigilax,4,2.1,12.1,,94,8266,Lestes
Walker Pond,2008,9/22/2008,9/26/2008,1,L_vigilax,2.1,0.6,6.8,,95,8266,Lestes
Walker Pond,2008,9/22/2008,9/26/2008,1,Argia,2.2,0.7,4.3,,96,8266,Argia
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2.9,2,5.6,,97,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2.8,1.9,6.1,,98,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,3,2.2,5.8,,99,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2.9,2,5.4,,100,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,3,2.3,4.4,,101,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,3,1.3,5.5,,102,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2.4,0.8,4.9,,103,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2.4,0.8,4.1,,104,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2.5,1.3,4,,105,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,3,1.4,5.9,,106,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2.6,1,4.2,,107,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2.8,1.4,3.8,,108,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2.6,1.4,4.5,,109,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2.6,1.2,5,,110,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2.4,0.9,4.9,,111,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,3.4,2.4,6.9,,112,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2.7,1.4,5.5,,113,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,Ischnura,2,0.6,3.1,,114,8266,Ischnura
Walker Pond,2008,9/22/2008,9/26/2008,1,E_geminatum,1.6,0.4,3.5,,115,8266,ENGE
Walker Pond,2008,9/22/2008,9/26/2008,1,E_geminatum,1.6,0.5,3.5,,116,8266,ENGE
Walker Pond,2008,9/22/2008,9/26/2008,1,E_geminatum,2.2,0.5,4.4,,117,8266,ENGE
Walker Pond,2008,9/22/2008,9/26/2008,1,E_geminatum,2,0.5,3.8,,118,8266,ENGE
Walker Pond,2008,9/22/2008,9/26/2008,1,E_geminatum,1.9,0.5,3.4,,119,8266,ENGE
Walker Pond,2008,9/22/2008,9/26/2008,1,E_geminatum,1.9,0.5,3.4,,120,8266,ENGE
Walker Pond,2008,9/22/2008,9/26/2008,1,E_geminatum,2,0.5,3.2,,121,8266,ENGE
Walker Pond,2008,9/22/2008,9/26/2008,1,E_ebrium_hageni,3,1.7,7.4,,122,8266,ENEB_ENHA
Walker Pond,2008,9/22/2008,9/26/2008,1,E_ebrium_hageni,2.9,1.7,7.4,,123,8266,ENEB_ENHA
Walker Pond,2008,9/22/2008,9/26/2008,1,E_vesperum,2.5,1.2,6.4,,124,8266,ENVE
Walker Pond,2008,9/22/2008,9/26/2008,1,E_vesperum,3.2,2.5,8,,125,8266,ENVE
Walker Pond,2008,9/22/2008,9/26/2008,1,E_vesperum,2.3,1.2,5,,126,8266,ENVE
Walker Pond,2008,9/22/2008,9/26/2008,1,E_vesperum,1.9,0.6,4.1,,127,8266,ENVE
Walker Pond,2008,9/22/2008,9/26/2008,1,E_vesperum,2.6,1.3,5,,128,8266,ENVE
Walker Pond,2008,9/22/2008,9/26/2008,1,E_divagans,2.6,1.4,4.1,,129,8266,ENDI
Walker Pond,2008,9/22/2008,9/26/2008,1,E_divagans,2.6,1.4,4.2,,130,8266,ENDI
Walker Pond,2008,9/22/2008,9/26/2008,1,E_divagans,2.3,1.1,4.4,,131,8266,ENDI
